user_id,targeted_marketing_action
26955432.7366538203,LAPSED_CART_ADDER
3645197.2846955864,LAPSED_CART_ADDER
3990362.6097113575,LAPSED_CART_ADDER
10649312.9048289940,LAPSED_CART_ADDER
11865101.0071079201,LAPSED_CART_ADDER
36101557.3606470662,LAPSED_CART_ADDER
37742769.6710172477,LAPSED_CART_ADDER
63241035.7982524370,LAPSED_CART_ADDER
88754143.8622858640,LAPSED_CART_ADDER
2791050.8364473898,LAPSED_CART_ADDER
49207909.1583104790,LAPSED_CART_ADDER
5767763.7293485976,LAPSED_CART_ADDER
1504366.3258076598,LAPSED_CART_ADDER
8545961.8689486678,LAPSED_CART_ADDER
5693743.9718682957,LAPSED_CART_ADDER
6966497.9303843594,LAPSED_CART_ADDER
7320904.5303167393,LAPSED_CART_ADDER
8176691.3760930172,LAPSED_CART_ADDER
8719257.9574012238,LAPSED_CART_ADDER
14794961.9797115248,LAPSED_CART_ADDER
49801810.8122270688,LAPSED_CART_ADDER
56585969.3261533979,LAPSED_CART_ADDER
57413775.6635721745,LAPSED_CART_ADDER
77708234.0226553266,LAPSED_CART_ADDER
86877517.9582034503,LAPSED_CART_ADDER
90592204.9205071796,LAPSED_CART_ADDER
5424932996.9116937410,LAPSED_CART_ADDER
5751294.2360818419,LAPSED_CART_ADDER
75850025.5485354014,LAPSED_CART_ADDER
1316799.5329835562,LAPSED_CART_ADDER
2481230.8532753153,LAPSED_CART_ADDER
8560973.9569964134,LAPSED_CART_ADDER
19039963.2179011603,LAPSED_CART_ADDER
28729857.4336448227,LAPSED_CART_ADDER
39040153.0068804009,LAPSED_CART_ADDER
68970400.5969452734,LAPSED_CART_ADDER
94217248.7915522872,LAPSED_CART_ADDER
2499995.5074432073,LAPSED_CART_ADDER
4108483.5598947219,LAPSED_CART_ADDER
4721959.0303824378,LAPSED_CART_ADDER
7302535.7789729457,LAPSED_CART_ADDER
14344445.1484884837,LAPSED_CART_ADDER
29055945.6558616866,LAPSED_CART_ADDER
75495973.3442699274,LAPSED_CART_ADDER
2803531.7150631290,LAPSED_CART_ADDER
37807245.0024630408,LAPSED_CART_ADDER
57030497.0592801612,LAPSED_CART_ADDER
83054155.0880614986,LAPSED_CART_ADDER
1169136.0877245870,LAPSED_CART_ADDER
1582934.8765515130,LAPSED_CART_ADDER
1770533.4629375438,LAPSED_CART_ADDER
3315379.2784497279,LAPSED_CART_ADDER
3493219.5559527197,LAPSED_CART_ADDER
4114357.2644265494,LAPSED_CART_ADDER
4376040.9963015085,LAPSED_CART_ADDER
4665339.2036679346,LAPSED_CART_ADDER
5212624.8165918693,LAPSED_CART_ADDER
8737083.7754322301,LAPSED_CART_ADDER
9096416.9966943210,LAPSED_CART_ADDER
11686858.7509160308,LAPSED_CART_ADDER
14145376.4484322985,LAPSED_CART_ADDER
15701237.6094348494,LAPSED_CART_ADDER
25238714.6613632594,LAPSED_CART_ADDER
25476020.9728903036,LAPSED_CART_ADDER
38361701.8433235904,LAPSED_CART_ADDER
40432550.0810854035,LAPSED_CART_ADDER
43144374.9582868370,LAPSED_CART_ADDER
43664318.7077185885,LAPSED_CART_ADDER
43680265.6594111417,LAPSED_CART_ADDER
48374485.0359520847,LAPSED_CART_ADDER
50963175.8692252854,LAPSED_CART_ADDER
51322763.1607662659,LAPSED_CART_ADDER
62215055.2965913007,LAPSED_CART_ADDER
65263591.0005283176,LAPSED_CART_ADDER
66724295.8216270916,LAPSED_CART_ADDER
69851443.1357089955,LAPSED_CART_ADDER
70133254.0864331076,LAPSED_CART_ADDER
70301876.6940862381,LAPSED_CART_ADDER
72323219.1312565103,LAPSED_CART_ADDER
80375210.8160113401,LAPSED_CART_ADDER
85980554.9324576492,LAPSED_CART_ADDER
88430973.4382638919,LAPSED_CART_ADDER
90450900.7074401899,LAPSED_CART_ADDER
91639223.7526117129,LAPSED_CART_ADDER
671923643.5057248665,LAPSED_CART_ADDER
5402743242.5001566761,LAPSED_CART_ADDER
46414189.3905864133,LAPSED_CART_ADDER
3742082228.9932787245,LAPSED_CART_ADDER
4465284.5488719313,LAPSED_CART_ADDER
1268935.6558618663,LAPSED_CART_ADDER
1862362.6207952440,LAPSED_CART_ADDER
2274725.8836440773,LAPSED_CART_ADDER
4011278.0806177422,LAPSED_CART_ADDER
5375974.6596469373,LAPSED_CART_ADDER
6122713.2051770345,LAPSED_CART_ADDER
7938993.6399567760,LAPSED_CART_ADDER
8170189.2090596790,LAPSED_CART_ADDER
8539716.8415959647,LAPSED_CART_ADDER
9056775.1755137389,LAPSED_CART_ADDER
13187491.1055994869,LAPSED_CART_ADDER
24063318.8999467029,LAPSED_CART_ADDER
26489508.6676908061,LAPSED_CART_ADDER
41053063.6014375508,LAPSED_CART_ADDER
41499571.9000843723,LAPSED_CART_ADDER
53797918.0805619146,LAPSED_CART_ADDER
55646130.4098032861,LAPSED_CART_ADDER
60654999.3663796775,LAPSED_CART_ADDER
67766668.9737335475,LAPSED_CART_ADDER
71302613.2140318724,LAPSED_CART_ADDER
74809094.4301655946,LAPSED_CART_ADDER
75504341.3611371555,LAPSED_CART_ADDER
80248303.4611498602,LAPSED_CART_ADDER
82625386.4678159107,LAPSED_CART_ADDER
90711063.1323369302,LAPSED_CART_ADDER
2460796713.4076088828,LAPSED_CART_ADDER
3595682960.1551618291,LAPSED_CART_ADDER
6532450538.5639367586,LAPSED_CART_ADDER
8714853688.8084244608,LAPSED_CART_ADDER
64313391.6454887607,LAPSED_CART_ADDER
25409557.6973752458,LAPSED_CART_ADDER
2262951.0890713856,LAPSED_CART_ADDER
4361543.5487737593,LAPSED_CART_ADDER
4627634.5250085071,LAPSED_CART_ADDER
31945264.8956419023,LAPSED_CART_ADDER
66158270.5705469582,LAPSED_CART_ADDER
5915279.2830506473,LAPSED_CART_ADDER
2278247.6041182039,LAPSED_CART_ADDER
2701489.7402663172,LAPSED_CART_ADDER
4900603.3708009640,LAPSED_CART_ADDER
5500990.0280046051,LAPSED_CART_ADDER
6069170.0626272171,LAPSED_CART_ADDER
7699920.5275757097,LAPSED_CART_ADDER
8310020.7052926705,LAPSED_CART_ADDER
9097338.8125976838,LAPSED_CART_ADDER
39547128.4530546448,LAPSED_CART_ADDER
52409318.7483318855,LAPSED_CART_ADDER
56545394.6865787003,LAPSED_CART_ADDER
71522603.9216175927,LAPSED_CART_ADDER
2453839.0477178566,LAPSED_CART_ADDER
6009345.9370582818,LAPSED_CART_ADDER
1902240.2463102277,LAPSED_CART_ADDER
3833326.4263178436,LAPSED_CART_ADDER
4975327.4666059471,LAPSED_CART_ADDER
5341491.8679168005,LAPSED_CART_ADDER
6759078.3877567684,LAPSED_CART_ADDER
7218710.6421454046,LAPSED_CART_ADDER
8147108.3098255698,LAPSED_CART_ADDER
17280425.1863053934,LAPSED_CART_ADDER
34404944.5760498394,LAPSED_CART_ADDER
36179030.9983542845,LAPSED_CART_ADDER
43642456.7967386445,LAPSED_CART_ADDER
44250988.5943643010,LAPSED_CART_ADDER
45708397.2628088902,LAPSED_CART_ADDER
50764807.0185085543,LAPSED_CART_ADDER
52021515.0131751809,LAPSED_CART_ADDER
57559582.5995369980,LAPSED_CART_ADDER
63465276.7454187856,LAPSED_CART_ADDER
67060240.4636903448,LAPSED_CART_ADDER
69335388.5152961937,LAPSED_CART_ADDER
90759078.9395698821,LAPSED_CART_ADDER
9100353130.4628070395,LAPSED_CART_ADDER
5782315.0275246270,LAPSED_CART_ADDER
80121040.9436479670,LAPSED_CART_ADDER
